"device_id","date","time","screen_status","bright_level","bright_mode","screen_on_time","bluetooth","gps","saving_mode","nfc","flashlight","airplane_mode","fingerprint","orientation","battery_level","battery_health","battery_charging_status","battery_connection_status","battery_temperature","battery_current","battery_voltage","battery_potency","battery_capacity","network_mode","mobile_mode","mobile_status","mobile_roaming","mobile_rx","mobile_tx","wifi_status","wifi_intensity","wifi_speed","wifi_ap","wifi_rx","wifi_tx","wifi_connection","network_operator","sim_operator","mcc","mnc","ring_mode","sound_level","playback_status","ram_capacity","ram_usage","ram_free","rom_capacity","rom_usage","rom_free","core_numbers","cpu_temperature","up_time","sleep_time","frequency_core0","frequency_core1","frequency_core2","frequency_core3","frequency_core4","frequency_core5","frequency_core6","frequency_core7"
"70a09b5174d07fff","08/12/2021","00:00:46","enabled","19","automatic","530","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.457764","3.637","-1.664887668","6174.0","enabled","disabled","disabled","disabled","182959581","23534908","enabled","-60","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2450.0","3193.0","110,549MB","19,643MB","90,905MB","8","37.0","22684","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:48","enabled","19","automatic","531","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.27893","3.637","-1.01446841","6174.0","enabled","disabled","disabled","disabled","183091152","23559566","enabled","-59","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2453.0","3190.0","110,549MB","19,643MB","90,905MB","8","37.0","22687","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:51","enabled","19","automatic","532","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.354309","3.637","-1.288621833","6174.0","enabled","disabled","disabled","disabled","183213354","23578799","enabled","-60","325",,"325","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2455.0","3188.0","110,549MB","19,643MB","90,905MB","8","37.0","22689","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:53","enabled","19","automatic","533","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.315551","3.637","-1.147658987","6174.0","enabled","disabled","disabled","disabled","183354111","23603833","enabled","-60","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2458.0","3185.0","110,549MB","19,643MB","90,905MB","8","37.0","22691","20357","1708.8","1708.8","1708.8","1708.8","1708.8","1708.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:55","enabled","19","automatic","534","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.350342","3.637","-1.274193854","6174.0","enabled","disabled","disabled","disabled","183508747","23625283","enabled","-60","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2463.0","3180.0","110,549MB","19,643MB","90,905MB","8","37.0","22693","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:58","enabled","19","automatic","535","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.2","-0.449219","3.658","-1.643243102","6174.0","enabled","disabled","disabled","disabled","183661052","23646624","enabled","-60","260",,"433","260","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2443.0","3200.0","110,549MB","19,643MB","90,905MB","8","37.0","22696","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:01:00","enabled","19","automatic","536","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.2","-0.455627","3.658","-1.666683566","6174.0","enabled","disabled","disabled","disabled","183795120","23670982","enabled","-59","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2446.0","3197.0","110,549MB","19,643MB","90,905MB","8","37.0","22698","20357","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:01:02","enabled","19","automatic","537","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.2","-0.446777","3.658","-1.634310266","6174.0","enabled","disabled","disabled","disabled","183919337","23690873","enabled","-61","292",,"433","292","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2448.0","3195.0","110,549MB","19,643MB","90,905MB","8","37.0","22700","20357","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:01:05","enabled","19","automatic","538","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.2","-0.409241","3.658","-1.497003578","6174.0","enabled","disabled","disabled","disabled","184056021","23711128","enabled","-61","292",,"433","292","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2451.0","3192.0","110,549MB","19,643MB","90,905MB","8","37.0","22703","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:01:07","enabled","19","automatic","539","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.2","-0.411072","3.658","-1.503701376","6174.0","enabled","disabled","disabled","disabled","184197764","23733982","enabled","-59","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2447.0","3196.0","110,549MB","19,643MB","90,905MB","8","37.0","22705","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
